text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
sluts,slut,sexual orientation / gender,1.6,Strong,sluts
cockboy,cock,sexual anatomy / sexual acts,2.4,Strong,cockboy
b0llocks,bollocks,sexual anatomy / sexual acts,1.2,Mild,b0llocks
dipshat,shit,bodily fluids / excrement,1.2,Mild,dipshat
bollock,bollocks,sexual anatomy / sexual acts,1.0,Mild,bollock
cuntz,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntz
fucking retard,fuck,sexual anatomy / sexual acts,3.0,Severe,fuckingretard
assmunch,ass,sexual anatomy / sexual acts,1.8,Strong,assmunch
stump chewer,stump chewer,sexual anatomy / sexual acts,1.4,Mild,stumpchewer
fecker,fuck,sexual anatomy / sexual acts,2.2,Strong,fecker
nut butter,nut butter,bodily fluids / excrement,1.4,Mild,nutbutter
dick-head,dick,sexual anatomy / sexual acts,1.8,Strong,dick-head
twattish,twat,sexual anatomy / sexual acts,1.6,Strong,twattish
cuntlickers,cunt,sexual anatomy / sexual acts,2.6,Severe,cuntlickers
a_s_s,ass,sexual anatomy / sexual acts,1.0,Mild,a_s_s
Jack off,jackoff,sexual anatomy / sexual acts,1.4,Mild,Jack
assfuckerz,fuck,sexual anatomy / sexual acts,2.4,Strong,assfuckerz
bitch,bitch,sexual orientation / gender,1.4,Mild,bitch
gay wad,gay,sexual orientation / gender,2.0,Strong,gaywad
shitbird,shit,bodily fluids / excrement,1.8,Strong,shitbird
sausage jockey,sausage jockey,sexual anatomy / sexual acts,2.6,Severe,sausagejockey
skanky,skank,sexual orientation / gender,1.4,Mild,skanky
rim job,rim job,sexual anatomy / sexual acts,2.0,Strong,rimjob
motherfukka,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfukka
reacharound,reacharound,sexual anatomy / sexual acts,1.2,Mild,reacharound
dick head,dick,sexual anatomy / sexual acts,1.8,Strong,dickhead
dumb bastard,bastard,other / general insult,1.2,Mild,dumbbastard
mothafcked,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafcked
girlyboy,girlyboy,sexual orientation / gender,1.4,Mild,girlyboy
bitchs,bitch,sexual orientation / gender,1.0,Mild,bitchs
shit fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,shitfucker
ass fucking nob jokeys,fuck,sexual anatomy / sexual acts,2.6,Severe,assfuckingnobjokeys
phuckings,fuck,sexual anatomy / sexual acts,2.4,Strong,phuckings
motherfckin,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfckin
b1+ch,bitch,sexual orientation / gender,1.0,Mild,b1+ch
jiggerboos,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggerboos
sh1t,shit,bodily fluids / excrement,1.2,Mild,sh1t
cyberfuccs,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfuccs
fucknuckle,fuck,sexual anatomy / sexual acts,2.4,Strong,fucknuckle
anal,anal,sexual anatomy / sexual acts,1.0,Mild,anal
mothafuckazzes,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuckazzes
cock smoker,cock,sexual anatomy / sexual acts,2.2,Strong,cocksmoker
cockshit,cock,sexual anatomy / sexual acts,2.2,Strong,cockshit
fckin,fuck,sexual anatomy / sexual acts,2.0,Strong,fckin
f@ggot,faggot,sexual orientation / gender,3.0,Severe,f@ggot
motherfuckings,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfuckings
shitface,shit,bodily fluids / excrement,2.0,Strong,shitface
tosser,tosser,other / general insult,1.2,Mild,tosser
phukup,fuck,sexual anatomy / sexual acts,1.8,Strong,phukup
fagg0t,faggot,sexual orientation / gender,3.0,Severe,fagg0t
trasherbitchs,bitch,sexual orientation / gender,1.2,Mild,trasherbitchs
cooties,cooties,other / general insult,1.0,Mild,cooties
shitfudgefucker,fuck,bodily fluids / excrement,2.6,Severe,shitfudgefucker
breasts,breast,sexual anatomy / sexual acts,1.0,Mild,breasts
bastards,bastard,other / general insult,1.6,Strong,bastards
arse-shagger,arse,sexual anatomy / sexual acts,2.4,Strong,arse-shagger
pig fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,pigfucker
d1cks,dick,sexual anatomy / sexual acts,1.4,Mild,d1cks
motherfuckeds,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckeds
fvckers,fuck,sexual anatomy / sexual acts,2.2,Strong,fvckers
nigguh,nigger,racial / ethnic slurs,2.8,Severe,nigguh
shipdit,shit,bodily fluids / excrement,1.4,Mild,shipdit
trashbitches,bitch,sexual orientation / gender,1.4,Mild,trashbitches
gay bitch,gay,sexual orientation / gender,2.6,Severe,gaybitch
dump a load,dump a load,bodily fluids / excrement,1.6,Strong,dumpload
shitblimps,shit,bodily fluids / excrement,1.6,Strong,shitblimps
@ssfvcker,fuck,sexual anatomy / sexual acts,2.4,Strong,@ssfvcker
paki,paki,racial / ethnic slurs,2.6,Severe,paki
crotchy,crotch,sexual anatomy / sexual acts,1.4,Mild,crotchy
wankers,wank,sexual anatomy / sexual acts,1.0,Mild,wankers
pussy licking,pussy,sexual anatomy / sexual acts,2.4,Strong,pussylicking
motherfuck,motherfucker,sexual anatomy / sexual acts,2.4,Strong,motherfuck
nobhead,knob,sexual anatomy / sexual acts,1.6,Strong,nobhead
twat waffle,twat,sexual anatomy / sexual acts,2.0,Strong,twatwaffle
Mothafucc,motherfucker,sexual anatomy / sexual acts,2.8,Severe,Mothafucc
mfukk,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mfukk
slutty,slut,sexual orientation / gender,1.8,Strong,slutty
scamfuck,fuck,sexual anatomy / sexual acts,2.4,Strong,scamfuck
fuccs,fuck,sexual anatomy / sexual acts,2.0,Strong,fuccs
azz,ass,sexual anatomy / sexual acts,1.0,Mild,azz
injun,injun,racial / ethnic slurs,2.4,Strong,injun
polesmoker,polesmoker,sexual anatomy / sexual acts,2.2,Strong,polesmoker
mothter fuck,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothterfuck
pussy lick,pussy,sexual anatomy / sexual acts,2.4,Strong,pussylick
pussy fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,pussyfucker
jizzsacks,jizz,sexual anatomy / sexual acts,1.8,Strong,jizzsacks
niggas,nigger,racial / ethnic slurs,2.8,Severe,niggas
shitfuckmotherfucker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,shitfuckmotherfucker
packing fudgehead,fudge packer,bodily fluids / excrement,1.8,Strong,packingfudgehead
m0thafucking,motherfucker,sexual anatomy / sexual acts,2.8,Severe,m0thafucking
tard asses,ass,sexual anatomy / sexual acts,3.0,Severe,tardasses
faggots,faggot,sexual orientation / gender,3.0,Severe,faggots
fugged,fuck,sexual anatomy / sexual acts,1.8,Strong,fugged
shited,shit,bodily fluids / excrement,1.2,Mild,shited
d1ckheads,dick,sexual anatomy / sexual acts,1.8,Strong,d1ckheads
gowl,gowl,other / general insult,1.6,Strong,gowl
spooks,spook,racial / ethnic slurs,2.6,Severe,spooks
cocksucc,cock,sexual anatomy / sexual acts,2.0,Strong,cocksucc
niga,nigger,racial / ethnic slurs,2.6,Severe,niga
bonk juice,bonk,bodily fluids / excrement,1.6,Strong,bonkjuice
swine,swine,animal references,1.0,Mild,swine
bondage,bondage,sexual anatomy / sexual acts,1.0,Mild,bondage
bitchez,bitch,sexual orientation / gender,1.4,Mild,bitchez
motherfucked,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucked
rice monkey,monkey,racial / ethnic slurs,3.0,Severe,ricemonkey
slanteyeshit,shit,bodily fluids / excrement,3.0,Severe,slanteyeshit
ladyboys,ladyboy,sexual orientation / gender,2.4,Strong,ladyboys
dong,dong,sexual anatomy / sexual acts,1.2,Mild,dong
negga,nigger,racial / ethnic slurs,2.8,Severe,negga
dickless,dick,sexual anatomy / sexual acts,1.4,Mild,dickless
pigshit,shit,bodily fluids / excrement,1.4,Mild,pigshit
shet,shit,bodily fluids / excrement,1.0,Mild,shet
fook,fuck,sexual anatomy / sexual acts,1.6,Strong,fook
faggoting,faggot,sexual orientation / gender,3.0,Severe,faggoting
molester,molest,sexual anatomy / sexual acts,2.2,Strong,molester
jewboy,jew,racial / ethnic slurs,2.8,Severe,jewboy
fuckheaded,fuck,sexual anatomy / sexual acts,2.6,Severe,fuckheaded
clusterfucks,fuck,sexual anatomy / sexual acts,2.0,Strong,clusterfucks
cunty,cunt,sexual anatomy / sexual acts,2.8,Severe,cunty
dipshitty,shit,bodily fluids / excrement,1.8,Strong,dipshitty
motherfuckins,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfuckins
k1ke,kike,racial / ethnic slurs,2.8,Severe,k1ke
horse shit,shit,bodily fluids / excrement,1.2,Mild,horseshit
phuccing,fuck,sexual anatomy / sexual acts,1.8,Strong,phuccing
mofuccers,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofuccers
fucks,fuck,sexual anatomy / sexual acts,2.0,Strong,fucks
cock-suckers,cock,sexual anatomy / sexual acts,2.0,Strong,cock-suckers
fker,fuck,sexual anatomy / sexual acts,2.4,Strong,fker
nigg4hs,nigger,racial / ethnic slurs,2.8,Severe,nigg4hs
cuntlicker,cunt,sexual anatomy / sexual acts,2.4,Strong,cuntlicker
nigger lover,nigger,racial / ethnic slurs,3.0,Severe,niggerlover
shitfucks,fuck,sexual anatomy / sexual acts,2.4,Strong,shitfucks
nigger,nigger,racial / ethnic slurs,3.0,Severe,nigger
dumb@ss,ass,sexual anatomy / sexual acts,1.2,Mild,dumb@ss
dickheads,dick,sexual anatomy / sexual acts,1.6,Strong,dickheads
abbie,abraham,racial / ethnic slurs,1.2,Mild,abbie
slut hole,slut,sexual anatomy / sexual acts,2.4,Strong,sluthole
throater,throater,sexual anatomy / sexual acts,2.4,Strong,throater
shitting,shit,bodily fluids / excrement,1.4,Mild,shitting
knobendz,knob,sexual anatomy / sexual acts,1.4,Mild,knobendz
jack-offs,jack off,sexual anatomy / sexual acts,1.4,Mild,jack-offs
asswipe,ass,sexual anatomy / sexual acts,1.6,Strong,asswipe
rat bastard,bastard,other / general insult,1.6,Strong,ratbastard
dickslapper,dick,sexual anatomy / sexual acts,1.8,Strong,dickslapper
clusterfucker,fuck,sexual anatomy / sexual acts,2.4,Strong,clusterfucker
bi+ch,bitch,sexual orientation / gender,1.4,Mild,bi+ch
sk@nks,skank,sexual orientation / gender,1.6,Strong,sk@nks
assfkr,ass,sexual anatomy / sexual acts,2.2,Strong,assfkr
n1gg@hs,niggger,racial / ethnic slurs,2.8,Severe,n1gg@hs
we1back,wetback,racial / ethnic slurs,2.6,Severe,we1back
jailba!t,jailbait,physical attributes,1.6,Strong,jailba!t
cock tease,cock,sexual anatomy / sexual acts,1.8,Strong,cocktease
4r5es,arse,sexual anatomy / sexual acts,1.4,Mild,4r5es
cocksucks,cock,sexual anatomy / sexual acts,2.2,Strong,cocksucks
cocksucking mothafuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,cocksuckingmothafuckers
cockeater,cock,sexual anatomy / sexual acts,2.2,Strong,cockeater
fcka,fuck,sexual anatomy / sexual acts,1.8,Strong,fcka
cockface,cock,sexual anatomy / sexual acts,2.0,Strong,cockface
mofuk,motherfucker,other / general insult,2.2,Strong,mofuk
dothead,dothead,racial / ethnic slurs,2.6,Severe,dothead
motherf@kka,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherf@kka
dickfucker,dick,sexual anatomy / sexual acts,2.8,Severe,dickfucker
phucker,fuck,sexual anatomy / sexual acts,2.2,Strong,phucker
shit-bandit,shit,bodily fluids / excrement,1.6,Strong,shit-bandit
n1gg3rs,nigger,racial / ethnic slurs,3.0,Severe,n1gg3rs
cyberfucs,fuck,sexual anatomy / sexual acts,2.0,Strong,cyberfucs
p3nisfvcker,penis,sexual anatomy / sexual acts,2.8,Severe,p3nisfvcker
sonz of bitchez,bitch,other / general insult,1.8,Strong,sonzbitchez
tard,retard,mental disability,2.8,Severe,tard
bewbs,boobs,sexual anatomy / sexual acts,1.0,Mild,bewbs
sh1theads,shit,bodily fluids / excrement,2.0,Strong,sh1theads
mofuck,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mofuck
fugger,fuck,sexual anatomy / sexual acts,2.0,Strong,fugger
dick licker,dick,sexual anatomy / sexual acts,2.4,Strong,dicklicker
pecker,pecker,sexual anatomy / sexual acts,1.4,Mild,pecker
go fuck yourself,fuck,sexual anatomy / sexual acts,2.6,Severe,gofuck
bumhole,bum,sexual anatomy / sexual acts,1.0,Mild,bumhole
bitcher,bitch,sexual orientation / gender,1.4,Mild,bitcher
boobs,boobs,sexual anatomy / sexual acts,1.0,Mild,boobs
shitheadfucker,fuck,sexual anatomy / sexual acts,2.8,Severe,shitheadfucker
shittyfuck,fuck,sexual anatomy / sexual acts,1.8,Strong,shittyfuck
jagoff,jack off,sexual anatomy / sexual acts,1.0,Mild,jagoff
crazy sob,bitch,mental disability,1.4,Mild,crazysob
shitter,shit,bodily fluids / excrement,1.0,Mild,shitter
shitte,shit,bodily fluids / excrement,1.0,Mild,shitte
blacky,blacky,racial / ethnic slurs,2.4,Strong,blacky
boll0ck,bollocks,sexual anatomy / sexual acts,1.0,Mild,boll0ck
niggress,nigger,racial / ethnic slurs,3.0,Severe,niggress
m@derfuckers,motherfucker,sexual anatomy / sexual acts,2.6,Severe,m@derfuckers
nobjokey,knob,sexual anatomy / sexual acts,2.0,Strong,nobjokey
mothafuccer,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuccer
snatch,snatch,sexual anatomy / sexual acts,1.0,Mild,snatch
shittydick,shit,bodily fluids / excrement,2.0,Strong,shittydick
slantfreak,slant eye,racial / ethnic slurs,2.6,Severe,slantfreak
china-virus,china virus,political,2.2,Strong,china-virus
assfuck,fuck,sexual anatomy / sexual acts,2.6,Severe,assfuck
jackoffs,jack off,sexual anatomy / sexual acts,1.2,Mild,jackoffs
motherfvckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfvckers
dyke,dyke,sexual orientation / gender,2.8,Severe,dyke
cawk muncher,cock,sexual anatomy / sexual acts,2.4,Strong,cawkmuncher
erectoplasm,erectoplasm,bodily fluids / excrement,1.8,Strong,erectoplasm
penisfuckers,fuck,sexual anatomy / sexual acts,3.0,Severe,penisfuckers
shitefulls,shit,bodily fluids / excrement,1.8,Strong,shitefulls
spig,spic,racial / ethnic slurs,2.6,Severe,spig
crows,crow,sexual orientation / gender,1.4,Mild,crows
tw@t,twat,sexual anatomy / sexual acts,1.8,Strong,tw@t
fukking,fuck,sexual anatomy / sexual acts,2.0,Strong,fukking
anilingus,anal,sexual anatomy / sexual acts,1.8,Strong,anilingus
pussies,pussy,sexual anatomy / sexual acts,1.0,Mild,pussies
fukwit,fuck,sexual anatomy / sexual acts,2.2,Strong,fukwit
wanked,wank,sexual anatomy / sexual acts,1.2,Mild,wanked
nikk3r,nigger,racial / ethnic slurs,3.0,Severe,nikk3r
b00bz,boobs,sexual anatomy / sexual acts,1.0,Mild,b00bz
ass hole,ass,sexual anatomy / sexual acts,1.2,Mild,asshole
dick face,dick,sexual anatomy / sexual acts,1.8,Strong,dickface
mothaf@cked,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothaf@cked
cooni3s,coon,racial / ethnic slurs,2.4,Strong,cooni3s
fuck goblin,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckgoblin
crotch fiddler,crotch,sexual anatomy / sexual acts,2.2,Strong,crotchfiddler
blow job,blowjob,sexual anatomy / sexual acts,2.0,Strong,blowjob
muthafukka,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muthafukka
gayest,gay,sexual orientation / gender,1.0,Mild,gayest
tongue fucker,fuck,sexual anatomy / sexual acts,2.4,Strong,tonguefucker
bullshi,shit,bodily fluids / excrement,1.0,Mild,bullshi
fuckbag,fuck,sexual anatomy / sexual acts,2.6,Severe,fuckbag
whores,whore,sexual orientation / gender,2.0,Strong,whores
phuck3r,fuck,sexual anatomy / sexual acts,1.8,Strong,phuck3r
jigaboo,jiggaboo,racial / ethnic slurs,2.4,Strong,jigaboo
mother effer,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mothereffer
feg,faggot,sexual orientation / gender,2.4,Strong,feg
niggers,nigger,racial / ethnic slurs,3.0,Severe,niggers
5h17,shit,bodily fluids / excrement,1.0,Mild,5h17
cumball,cum,bodily fluids / excrement,2.4,Strong,cumball
twat,twat,sexual anatomy / sexual acts,1.8,Strong,twat
packingfudgefucking,fudge packer,sexual anatomy / sexual acts,2.4,Strong,packingfudgefucking
timber nigger,nigger,racial / ethnic slurs,3.0,Severe,timbernigger
pack my fudge,fudge packer,sexual anatomy / sexual acts,2.0,Strong,packfudge
d1cksukka,dick,sexual anatomy / sexual acts,2.0,Strong,d1cksukka
jerkoff jerking off,jerk off,sexual anatomy / sexual acts,1.2,Mild,jerkoffjerking
suck my cock,cock,sexual anatomy / sexual acts,2.2,Strong,suckcock
shiteblimps,shit,bodily fluids / excrement,1.8,Strong,shiteblimps
jailbait,jailbait,sexual anatomy / sexual acts,1.0,Mild,jailbait
bitchslap,bitch,sexual orientation / gender,1.0,Mild,bitchslap
knobead,knob,sexual anatomy / sexual acts,1.4,Mild,knobead
shittyful,shit,bodily fluids / excrement,1.6,Strong,shittyful
god damned,damn,religious offense,1.2,Mild,goddamned
nobjockies,knob,sexual anatomy / sexual acts,1.8,Strong,nobjockies
azzhole,ass,sexual anatomy / sexual acts,1.6,Strong,azzhole
g@y b1tch,bitch,sexual orientation / gender,2.6,Severe,g@yb1tch
shitties,shit,bodily fluids / excrement,1.0,Mild,shitties
wnker,wank,sexual anatomy / sexual acts,1.0,Mild,wnker
fagshit,faggot,bodily fluids / excrement,3.0,Severe,fagshit
spicshit,spic,bodily fluids / excrement,3.0,Severe,spicshit
queers,queer,sexual orientation / gender,1.8,Strong,queers
jiggerboo,jiggaboo,racial / ethnic slurs,2.6,Severe,jiggerboo
s/h/i/t,shit,bodily fluids / excrement,1.0,Mild,s/h/i/t
batshit,shit,bodily fluids / excrement,1.0,Mild,batshit
cockmonger,cock,sexual anatomy / sexual acts,2.2,Strong,cockmonger
motherfvckeds,motherfucker,sexual anatomy / sexual acts,2.2,Strong,motherfvckeds
fcvking,fuck,sexual anatomy / sexual acts,2.2,Strong,fcvking
cock head,cock,sexual anatomy / sexual acts,2.0,Strong,cockhead
butt pirate,butt,sexual orientation / gender,2.2,Strong,buttpirate
cums,cum,bodily fluids / excrement,1.4,Mild,cums
butthole,butt,sexual anatomy / sexual acts,1.2,Mild,butthole
@ssfucker,fuck,sexual anatomy / sexual acts,2.8,Severe,@ssfucker
dipshits,shit,bodily fluids / excrement,1.6,Strong,dipshits
niggerz,nigger,racial / ethnic slurs,3.0,Severe,niggerz
motherfuckka,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckka
goddamnit,damn,religious offense,1.6,Strong,goddamnit
cockless,cock,sexual anatomy / sexual acts,1.4,Mild,cockless
0ral sex,sex,sexual anatomy / sexual acts,1.8,Strong,0ralsex
dog's bollocks,bollocks,sexual anatomy / sexual acts,1.2,Mild,dog'sbollocks
focker,fuck,sexual anatomy / sexual acts,2.0,Strong,focker
f@gg0t,faggot,sexual orientation / gender,3.0,Severe,f@gg0t
fellator,fellatio,sexual anatomy / sexual acts,1.6,Strong,fellator
fcuked,fuck,sexual anatomy / sexual acts,2.2,Strong,fcuked
fux,fuck,sexual anatomy / sexual acts,2.2,Strong,fux
sons of b1tches,bitch,sexual orientation / gender,1.6,Strong,sonsb1tches
sk@nky,skank,sexual orientation / gender,1.0,Mild,sk@nky
coonies,coon,racial / ethnic slurs,3.0,Severe,coonies
shittastic,shit,bodily fluids / excrement,1.2,Mild,shittastic
cawks,cock,sexual anatomy / sexual acts,1.2,Mild,cawks
motherfvcking,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfvcking
kneegrows,negro,racial / ethnic slurs,2.8,Severe,kneegrows
dicks,dick,sexual anatomy / sexual acts,1.0,Mild,dicks
motherfuckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfuckers
suck my d,dick,sexual anatomy / sexual acts,1.8,Strong,suck
son o bitch,bitch,sexual orientation / gender,1.6,Strong,sonbitch
phuccer,fuck,sexual anatomy / sexual acts,2.2,Strong,phuccer
f@gshit,shit,sexual orientation / gender,2.8,Severe,f@gshit
niggass,nigger,racial / ethnic slurs,2.6,Severe,niggass
f@g,faggot,sexual orientation / gender,2.8,Severe,f@g
son of a bitch,bitch,other / general insult,1.2,Mild,sonbitch
dogshit,shit,bodily fluids / excrement,1.0,Mild,dogshit
darkie,darky,racial / ethnic slurs,2.8,Severe,darkie
fuckahs,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckahs
ballbag,bollocks,sexual anatomy / sexual acts,1.0,Mild,ballbag
fackuhs,fuck,sexual anatomy / sexual acts,2.0,Strong,fackuhs
j-offs,jerk off,sexual anatomy / sexual acts,1.4,Mild,j-offs
cunt fart,cunt,sexual anatomy / sexual acts,2.6,Severe,cuntfart
m0therfucker,motherfucker,sexual anatomy / sexual acts,2.4,Strong,m0therfucker
sh1te,shit,bodily fluids / excrement,1.0,Mild,sh1te
cockskin,cock,sexual anatomy / sexual acts,1.8,Strong,cockskin
dickhead,dick,sexual anatomy / sexual acts,2.0,Strong,dickhead
dog-fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,dog-fucker
knobjokeys,knob,sexual anatomy / sexual acts,1.8,Strong,knobjokeys
sambo,sambo,racial / ethnic slurs,2.2,Strong,sambo
jerk-0ffs,jerk off,sexual anatomy / sexual acts,1.4,Mild,jerk-0ffs
fudgepacking fucker,fudge packer,sexual anatomy / sexual acts,3.0,Severe,fudgepackingfucker
twa+,twat,sexual anatomy / sexual acts,1.2,Mild,twa+
fingerbanged,finger,sexual anatomy / sexual acts,1.6,Strong,fingerbanged
slag,slag,sexual orientation / gender,1.6,Strong,slag
bean queen,bean queen,racial / ethnic slurs,2.2,Strong,beanqueen
shitted,shit,bodily fluids / excrement,1.2,Mild,shitted
anal hore,anal,sexual anatomy / sexual acts,2.4,Strong,analhore
cumdumpster,cum,bodily fluids / excrement,2.8,Severe,cumdumpster
nickker,nigger,racial / ethnic slurs,3.0,Severe,nickker
cocsuck,cock,sexual anatomy / sexual acts,2.0,Strong,cocsuck
fucs,fuck,sexual anatomy / sexual acts,2.4,Strong,fucs
gay shit,gay,bodily fluids / excrement,1.8,Strong,gayshit
mother fucker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucker
shitd1ck,shit,sexual anatomy / sexual acts,2.0,Strong,shitd1ck
fucka,fuck,sexual anatomy / sexual acts,2.2,Strong,fucka
fuck face,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckface
dogsh1t,shit,bodily fluids / excrement,1.2,Mild,dogsh1t
phukked,fuck,sexual anatomy / sexual acts,2.0,Strong,phukked
redskin,redskin,racial / ethnic slurs,2.2,Strong,redskin
arse,arse,sexual anatomy / sexual acts,1.0,Mild,arse
shitefuck,fuck,sexual anatomy / sexual acts,1.6,Strong,shitefuck
pissoffs,piss,bodily fluids / excrement,1.4,Mild,pissoffs
nigg3r,nigger,racial / ethnic slurs,3.0,Severe,nigg3r
phuckin,fuck,sexual anatomy / sexual acts,2.0,Strong,phuckin
pu55y,pussy,sexual anatomy / sexual acts,1.6,Strong,pu55y
g0ddamn,damn,religious offense,1.2,Mild,g0ddamn
c0cksucker,cock,sexual anatomy / sexual acts,2.2,Strong,c0cksucker
mothafucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafucka
bitchin,bitch,other / general insult,1.2,Mild,bitchin
ladboys,ladyboy,sexual orientation / gender,1.4,Mild,ladboys
motherfk,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfk
jap,jap,racial / ethnic slurs,2.8,Severe,jap
sl@nteye,slant eye,racial / ethnic slurs,3.0,Severe,sl@nteye
motherfucking,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfucking
fuccing,fuck,sexual anatomy / sexual acts,2.6,Severe,fuccing
dipshite,shit,bodily fluids / excrement,1.6,Strong,dipshite
shit face,shit,bodily fluids / excrement,1.8,Strong,shitface
bellend,bellend,sexual anatomy / sexual acts,1.2,Mild,bellend
mf'er,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mf'er
nigah,nigger,racial / ethnic slurs,2.8,Severe,nigah
packerfudgehead,fudge packer,sexual anatomy / sexual acts,2.2,Strong,packerfudgehead
assfuckers,fuck,sexual anatomy / sexual acts,2.8,Severe,assfuckers
tongue fucking,fuck,sexual anatomy / sexual acts,2.8,Severe,tonguefucking
shitterfucker,fuck,sexual anatomy / sexual acts,2.6,Severe,shitterfucker
n1ggah,nigger,racial / ethnic slurs,2.8,Severe,n1ggah
kike,kike,racial / ethnic slurs,3.0,Severe,kike
coon1es,coon,racial / ethnic slurs,3.0,Severe,coon1es
c0cks,cock,sexual anatomy / sexual acts,1.6,Strong,c0cks
fothermuckers,motherfucker,sexual anatomy / sexual acts,1.8,Strong,fothermuckers
sack,ballsack,sexual anatomy / sexual acts,1.0,Mild,sack
gay ass,gay,sexual anatomy / sexual acts,2.6,Severe,gayass
b1tch3s,bitch,sexual orientation / gender,1.4,Mild,b1tch3s
b1tchees,bitch,sexual orientation / gender,1.4,Mild,b1tchees
sissy,sissy,sexual orientation / gender,1.0,Mild,sissy
ladyboy,ladyboy,sexual orientation / gender,2.2,Strong,ladyboy
muffindiving,muff,sexual anatomy / sexual acts,1.8,Strong,muffindiving
niggah,nigger,racial / ethnic slurs,2.8,Severe,niggah
motherfukker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfukker
b1tch35,bitch,sexual orientation / gender,1.0,Mild,b1tch35
shiester,shiester,racial / ethnic slurs,2.0,Strong,shiester
dikhead,dick,sexual anatomy / sexual acts,1.6,Strong,dikhead
bung hole,bung,sexual anatomy / sexual acts,1.0,Mild,bunghole
fuck your,fuck,sexual anatomy / sexual acts,2.4,Strong,fuck
loose woman,loose,sexual orientation / gender,1.4,Mild,loosewoman
analplug,anal,sexual anatomy / sexual acts,2.2,Strong,analplug
pussy,pussy,sexual anatomy / sexual acts,1.4,Mild,pussy
jiggaboos,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggaboos
ass fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,assfucker
w@nker,wank,sexual anatomy / sexual acts,1.2,Mild,w@nker
cuntits,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntits
beat the meat,meat,sexual anatomy / sexual acts,1.4,Mild,beatmeat
motherfuckin,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfuckin
stupid hoe,hoe,sexual orientation / gender,2.4,Strong,stupidhoe
nutsacks,nutsack,sexual anatomy / sexual acts,1.6,Strong,nutsacks
packingfudge,fudge packer,sexual anatomy / sexual acts,2.4,Strong,packingfudge
pedo,pedophile,sexual anatomy / sexual acts,2.2,Strong,pedo
fuk1n,fuck,sexual anatomy / sexual acts,2.0,Strong,fuk1n
S&M,sadomasochism,sexual anatomy / sexual acts,1.0,Mild,S&M
analplugs,anal,sexual anatomy / sexual acts,2.0,Strong,analplugs
pigfucker,fuck,sexual anatomy / sexual acts,2.6,Severe,pigfucker
ja1lbait,jailbait,physical attributes,1.0,Mild,ja1lbait
m0foes,motherfucker,other / general insult,2.2,Strong,m0foes
fucking shit,fuck,sexual anatomy / sexual acts,1.8,Strong,fuckingshit
dickvag,dick,sexual anatomy / sexual acts,1.6,Strong,dickvag
gash-stabber,gash-stabber,sexual anatomy / sexual acts,2.0,Strong,gash-stabber
kikes,kike,racial / ethnic slurs,3.0,Severe,kikes
Camel jockey,camel jockey,racial / ethnic slurs,2.8,Severe,Cameljockey
